Time,Press,T,Vel:0,Vel:1,Vel:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
3.43E+05,0,275.15,0,0,0,1,0,0,0.005,0
3.43E+05,0.21089,275.13,0.0013552,0,0,1,1.00E-05,1.00E-05,0.005,0
3.43E+05,0.30797,275.12,0.0025343,0,0,1,2.00E-05,2.00E-05,0.005,0
3.43E+05,0.3649,275.11,0.003513,0,0,1,3.00E-05,3.00E-05,0.005,0
3.43E+05,0.40881,275.09,0.0043244,0,0,1,4.00E-05,4.00E-05,0.005,0
3.43E+05,0.42027,275.08,0.0050593,0,0,1,5.00E-05,5.00E-05,0.005,0
3.43E+05,0.45115,275.07,0.0056614,0,0,1,6.00E-05,6.00E-05,0.005,0
3.43E+05,0.45836,275.05,0.0062017,0,0,1,7.00E-05,7.00E-05,0.005,0
3.43E+05,0.46989,275.04,0.0066816,0,0,1,8.00E-05,8.00E-05,0.005,0
3.43E+05,0.48612,275.03,0.0071067,0,0,1,9.00E-05,9.00E-05,0.005,0
3.43E+05,0.47984,275.02,0.0074862,0,0,1,0.0001,0.0001,0.005,0
3.43E+05,0.50012,275.01,0.0078136,0,0,1,0.00011,0.00011,0.005,0
3.43E+05,0.4985,275,0.0081067,0,0,1,0.00012,0.00012,0.005,0
3.43E+05,0.50306,274.99,0.0083706,0,0,1,0.00013,0.00013,0.005,0
3.43E+05,0.51408,274.98,0.0086078,0,0,1,0.00014,0.00014,0.005,0
3.43E+05,0.50399,274.98,0.0088188,0,0,1,0.00015,0.00015,0.005,0
3.43E+05,0.52037,274.97,0.0090045,0,0,1,0.00016,0.00016,0.005,0
3.43E+05,0.51663,274.96,0.0091696,0,0,1,0.00017,0.00017,0.005,0
3.43E+05,0.5189,274.95,0.0093187,0,0,1,0.00018,0.00018,0.005,0
3.43E+05,0.52756,274.95,0.0094533,0,0,1,0.00019,0.00019,0.005,0
3.43E+05,0.51717,274.94,0.0095714,0,0,1,0.0002,0.0002,0.005,0
3.43E+05,0.531,274.93,0.0096763,0,0,1,0.00021,0.00021,0.005,0
3.43E+05,0.52689,274.93,0.0097678,0,0,1,0.00022,0.00022,0.005,0
3.43E+05,0.52825,274.92,0.00985,0,0,1,0.00023,0.00023,0.005,0
3.43E+05,0.53543,274.91,0.0099236,0,0,1,0.00024,0.00024,0.005,0
3.43E+05,0.52576,274.91,0.0099861,0,0,1,0.00025,0.00025,0.005,0
3.43E+05,0.53764,274.9,0.010042,0,0,1,0.00026,0.00026,0.005,0
3.43E+05,0.53373,274.9,0.010088,0,0,1,0.00027,0.00027,0.005,0
3.43E+05,0.53466,274.89,0.010128,0,0,1,0.00028,0.00028,0.005,0
3.43E+05,0.54078,274.89,0.010163,0,0,1,0.00029,0.00029,0.005,0
3.43E+05,0.53211,274.88,0.010191,0,0,1,0.0003,0.0003,0.005,0
3.43E+05,0.5424,274.88,0.010214,0,0,1,0.00031,0.00031,0.005,0
3.43E+05,0.53886,274.87,0.010231,0,0,1,0.00032,0.00032,0.005,0
3.43E+05,0.53958,274.87,0.010245,0,0,1,0.00033,0.00033,0.005,0
3.43E+05,0.54487,274.86,0.010255,0,0,1,0.00034,0.00034,0.005,0
3.43E+05,0.53721,274.86,0.010259,0,0,1,0.00035,0.00035,0.005,0
3.43E+05,0.54618,274.85,0.010261,0,0,1,0.00036,0.00036,0.005,0
3.43E+05,0.54304,274.85,0.010259,0,0,1,0.00037,0.00037,0.005,0
3.43E+05,0.54365,274.85,0.010254,0,0,1,0.00038,0.00038,0.005,0
3.43E+05,0.54826,274.84,0.010247,0,0,1,0.00039,0.00039,0.005,0
3.43E+05,0.54155,274.84,0.010235,0,0,1,0.0004,0.0004,0.005,0
3.43E+05,0.54941,274.83,0.010223,0,0,1,0.00041,0.00041,0.005,0
3.43E+05,0.54667,274.83,0.010207,0,0,1,0.00042,0.00042,0.005,0
3.43E+05,0.54722,274.83,0.010189,0,0,1,0.00043,0.00043,0.005,0
3.43E+05,0.55129,274.82,0.01017,0,0,1,0.00044,0.00044,0.005,0
3.43E+05,0.54543,274.82,0.010147,0,0,1,0.00045,0.00045,0.005,0
3.43E+05,0.55235,274.82,0.010124,0,0,1,0.00046,0.00046,0.005,0
3.43E+05,0.55001,274.81,0.010098,0,0,1,0.00047,0.00047,0.005,0
3.43E+05,0.5503,274.81,0.010072,0,0,1,0.00048,0.00048,0.005,0
3.43E+05,0.55455,274.81,0.010038,0,0,1,0.00049,0.00049,0.005,0
3.43E+05,0.55358,274.8,0.0099794,0,0,1,0.0005,0.0005,0.005,0
3.43E+05,0.55364,274.8,0.0099391,0,0,1,0.00051,0.00051,0.005,0
3.43E+05,0.5537,274.8,0.0098988,0,0,1,0.00052,0.00052,0.005,0
3.43E+05,0.55262,274.8,0.0098815,0,0,1,0.00053,0.00053,0.005,0
3.43E+05,0.55041,274.79,0.009887,0,0,1,0.00054,0.00054,0.005,0
3.43E+05,0.5482,274.79,0.0098926,0,0,1,0.00055,0.00055,0.005,0
3.43E+05,0.5533,274.79,0.0098703,0,0,1,0.00056,0.00056,0.005,0
3.43E+05,0.5584,274.79,0.0098481,0,0,1,0.00057,0.00057,0.005,0
3.43E+05,0.5591,274.78,0.009821,0,0,1,0.00058,0.00058,0.005,0
3.43E+05,0.55539,274.78,0.009789,0,0,1,0.00059,0.00059,0.005,0
