"Vel:0","Vel:1","Vel:2","Press","T",":0",":1",":2"
0,0,0,-0.057738,275.15,0,0,0
0,0,0,-0.057767,274.9,0.0001,0,0
0,0,0,-0.057487,274.66,0.0002,0,0
0,0,0,-0.056959,274.45,0.0003,0,0
0,0,0,-0.056326,274.27,0.0004,0,0
0,0,0,-0.055693,274.13,0.0005,0,0
0,0,0,-0.055117,274.03,0.0006,0,0
0,0,0,-0.054621,273.96,0.0007,0,0
0,0,0,-0.054207,273.91,0.0008,0,0
0,0,0,-0.053867,273.88,0.0009,0,0
0,0,0,-0.053586,273.86,0.001,0,0
0,0,0,-0.053354,273.84,0.0011,0,0
0,0,0,-0.053159,273.83,0.0012,0,0
0,0,0,-0.052992,273.82,0.0013,0,0
0,0,0,-0.052847,273.81,0.0014,0,0
0,0,0,-0.052718,273.81,0.0015,0,0
0,0,0,-0.052601,273.8,0.0016,0,0
0,0,0,-0.052495,273.8,0.0017,0,0
0,0,0,-0.052395,273.8,0.0018,0,0
0,0,0,-0.052302,273.79,0.0019,0,0
0,0,0,-0.052213,273.79,0.002,0,0
0,0,0,-0.052127,273.78,0.0021,0,0
0,0,0,-0.052045,273.78,0.0022,0,0
0,0,0,-0.051965,273.77,0.0023,0,0
0,0,0,-0.051887,273.77,0.0024,0,0
0,0,0,-0.05181,273.77,0.0025,0,0
0,0,0,-0.051736,273.76,0.0026,0,0
0,0,0,-0.051662,273.76,0.0027,0,0
0,0,0,-0.051589,273.75,0.0028,0,0
0,0,0,-0.051518,273.75,0.0029,0,0
0,0,0,-0.051448,273.75,0.003,0,0
0,0,0,-0.051378,273.74,0.0031,0,0
0,0,0,-0.051309,273.74,0.0032,0,0
0,0,0,-0.051242,273.73,0.0033,0,0
0,0,0,-0.051174,273.73,0.0034,0,0
0,0,0,-0.051108,273.73,0.0035,0,0
0,0,0,-0.051042,273.72,0.0036,0,0
0,0,0,-0.050977,273.72,0.0037,0,0
0,0,0,-0.050912,273.71,0.0038,0,0
0,0,0,-0.050847,273.71,0.0039,0,0
0,0,0,-0.050783,273.71,0.004,0,0
0,0,0,-0.050719,273.7,0.0041,0,0
