"Press","T","Vel:0","Vel:1","Vel:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,275.15,0,0,0,1,0,0,0.005,0
0.26355,275.13,0.0016729,0,0,1,1e-05,1e-05,0.005,0
0.3828,275.11,0.003112,0,0,1,2e-05,2e-05,0.005,0
0.45298,275.09,0.0042896,0,0,1,3e-05,3e-05,0.005,0
0.50756,275.08,0.0052515,0,0,1,4e-05,4e-05,0.005,0
0.51824,275.06,0.0061167,0,0,1,5e-05,5e-05,0.005,0
0.55818,275.05,0.0068156,0,0,1,6e-05,6e-05,0.005,0
0.5649,275.03,0.0074375,0,0,1,7e-05,7e-05,0.005,0
0.57829,275.02,0.0079859,0,0,1,8e-05,8e-05,0.005,0
0.59889,275,0.0084676,0,0,1,9e-05,9e-05,0.005,0
0.58797,274.99,0.0088932,0,0,1,0.0001,0.0001,0.005,0
0.61469,274.98,0.0092578,0,0,1,0.00011,0.00011,0.005,0
0.61107,274.97,0.0095808,0,0,1,0.00012,0.00012,0.005,0
0.6161,274.96,0.0098696,0,0,1,0.00013,0.00013,0.005,0
0.63028,274.95,0.010127,0,0,1,0.00014,0.00014,0.005,0
0.61552,274.94,0.010354,0,0,1,0.00015,0.00015,0.005,0
0.63711,274.93,0.010552,0,0,1,0.00016,0.00016,0.005,0
0.63139,274.92,0.010725,0,0,1,0.00017,0.00017,0.005,0
0.63385,274.91,0.01088,0,0,1,0.00018,0.00018,0.005,0
0.64506,274.9,0.011018,0,0,1,0.00019,0.00019,0.005,0
0.63063,274.9,0.011137,0,0,1,0.0002,0.0002,0.005,0
0.64881,274.89,0.011241,0,0,1,0.00021,0.00021,0.005,0
0.64303,274.88,0.011329,0,0,1,0.00022,0.00022,0.005,0
0.64454,274.87,0.011407,0,0,1,0.00023,0.00023,0.005,0
0.65389,274.86,0.011474,0,0,1,0.00024,0.00024,0.005,0
0.64092,274.86,0.011528,0,0,1,0.00025,0.00025,0.005,0
0.65642,274.85,0.011575,0,0,1,0.00026,0.00026,0.005,0
0.65133,274.85,0.011609,0,0,1,0.00027,0.00027,0.005,0
0.65176,274.84,0.01164,0,0,1,0.00028,0.00028,0.005,0
0.66089,274.83,0.011653,0,0,1,0.00029,0.00029,0.005,0
0.6589,274.83,0.011606,0,0,1,0.0003,0.0003,0.005,0
0.65897,274.82,0.011594,0,0,1,0.00031,0.00031,0.005,0
0.65903,274.82,0.011583,0,0,1,0.00032,0.00032,0.005,0
0.65673,274.81,0.011615,0,0,1,0.00033,0.00033,0.005,0
0.65207,274.81,0.011691,0,0,1,0.00034,0.00034,0.005,0
0.6474,274.81,0.011768,0,0,1,0.00035,0.00035,0.005,0
0.65789,274.8,0.011779,0,0,1,0.00036,0.00036,0.005,0
0.66839,274.79,0.011791,0,0,1,0.00037,0.00037,0.005,0
0.66981,274.79,0.011788,0,0,1,0.00038,0.00038,0.005,0
0.66217,274.78,0.011771,0,0,1,0.00039,0.00039,0.005,0
0.65453,274.78,0.011754,0,0,1,0.0004,0.0004,0.005,0
0.66348,274.78,0.011736,0,0,1,0.00041,0.00041,0.005,0
0.67242,274.77,0.011718,0,0,1,0.00042,0.00042,0.005,0
0.67353,274.77,0.011692,0,0,1,0.00043,0.00043,0.005,0
0.66681,274.76,0.011657,0,0,1,0.00044,0.00044,0.005,0
0.6601,274.76,0.011622,0,0,1,0.00045,0.00045,0.005,0
0.66793,274.76,0.01159,0,0,1,0.00046,0.00046,0.005,0
0.67576,274.75,0.011557,0,0,1,0.00047,0.00047,0.005,0
0.67675,274.75,0.011519,0,0,1,0.00048,0.00048,0.005,0
0.67089,274.74,0.011474,0,0,1,0.00049,0.00049,0.005,0
0.66503,274.74,0.011429,0,0,1,0.0005,0.0005,0.005,0
0.67193,274.74,0.011387,0,0,1,0.00051,0.00051,0.005,0
0.67884,274.73,0.011346,0,0,1,0.00052,0.00052,0.005,0
0.67974,274.73,0.0113,0,0,1,0.00053,0.00053,0.005,0
0.67462,274.73,0.011249,0,0,1,0.00054,0.00054,0.005,0
0.66951,274.73,0.011198,0,0,1,0.00055,0.00055,0.005,0
0.67563,274.72,0.011151,0,0,1,0.00056,0.00056,0.005,0
0.68174,274.72,0.011104,0,0,1,0.00057,0.00057,0.005,0
0.68256,274.72,0.011053,0,0,1,0.00058,0.00058,0.005,0
0.67809,274.71,0.010998,0,0,1,0.00059,0.00059,0.005,0
0.67362,274.71,0.010944,0,0,1,0.0006,0.0006,0.005,0
0.67905,274.71,0.010893,0,0,1,0.00061,0.00061,0.005,0
0.68449,274.7,0.010843,0,0,1,0.00062,0.00062,0.005,0
0.68524,274.7,0.010789,0,0,1,0.00063,0.00063,0.005,0
0.68132,274.7,0.010733,0,0,1,0.00064,0.00064,0.005,0
0.6774,274.7,0.010676,0,0,1,0.00065,0.00065,0.005,0
0.68224,274.7,0.010623,0,0,1,0.00066,0.00066,0.005,0
0.68708,274.69,0.010571,0,0,1,0.00067,0.00067,0.005,0
0.68778,274.69,0.010516,0,0,1,0.00068,0.00068,0.005,0
0.68434,274.69,0.010458,0,0,1,0.00069,0.00069,0.005,0
0.6809,274.69,0.010401,0,0,1,0.0007,0.0007,0.005,0
0.68522,274.68,0.010347,0,0,1,0.00071,0.00071,0.005,0
0.68954,274.68,0.010294,0,0,1,0.00072,0.00072,0.005,0
0.69018,274.68,0.010238,0,0,1,0.00073,0.00073,0.005,0
0.68716,274.68,0.010181,0,0,1,0.00074,0.00074,0.005,0
0.68413,274.68,0.010123,0,0,1,0.00075,0.00075,0.005,0
0.68799,274.67,0.010069,0,0,1,0.00076,0.00076,0.005,0
0.69186,274.67,0.010015,0,0,1,0.00077,0.00077,0.005,0
0.69245,274.67,0.0099596,0,0,1,0.00078,0.00078,0.005,0
0.68978,274.67,0.0099024,0,0,1,0.00079,0.00079,0.005,0
0.68711,274.67,0.0098453,0,0,1,0.0008,0.0008,0.005,0
0.69058,274.66,0.0097916,0,0,1,0.00081,0.00081,0.005,0
0.69404,274.66,0.0097378,0,0,1,0.00082,0.00082,0.005,0
0.69459,274.66,0.0096828,0,0,1,0.00083,0.00083,0.005,0
0.69224,274.66,0.0096265,0,0,1,0.00084,0.00084,0.005,0
0.68988,274.66,0.0095702,0,0,1,0.00085,0.00085,0.005,0
0.69299,274.66,0.009517,0,0,1,0.00086,0.00086,0.005,0
0.6961,274.65,0.0094638,0,0,1,0.00087,0.00087,0.005,0
0.69661,274.65,0.0094096,0,0,1,0.00088,0.00088,0.005,0
0.69452,274.65,0.0093544,0,0,1,0.00089,0.00089,0.005,0
0.69243,274.65,0.0092992,0,0,1,0.0009,0.0009,0.005,0
0.69523,274.65,0.0092469,0,0,1,0.00091,0.00091,0.005,0
0.69803,274.65,0.0091946,0,0,1,0.00092,0.00092,0.005,0
0.6985,274.65,0.0091414,0,0,1,0.00093,0.00093,0.005,0
0.69665,274.64,0.0090875,0,0,1,0.00094,0.00094,0.005,0
0.6948,274.64,0.0090335,0,0,1,0.00095,0.00095,0.005,0
0.69732,274.64,0.0089823,0,0,1,0.00096,0.00096,0.005,0
0.69984,274.64,0.0089311,0,0,1,0.00097,0.00097,0.005,0
0.70028,274.64,0.0088792,0,0,1,0.00098,0.00098,0.005,0
0.69863,274.64,0.0088266,0,0,1,0.00099,0.00099,0.005,0
0.69699,274.64,0.0087741,0,0,1,0.001,0.001,0.005,0
0.69926,274.64,0.008724,0,0,1,0.00101,0.00101,0.005,0
0.70154,274.63,0.008674,0,0,1,0.00102,0.00102,0.005,0
0.70195,274.63,0.0086235,0,0,1,0.00103,0.00103,0.005,0
0.70048,274.63,0.0085724,0,0,1,0.00104,0.00104,0.005,0
0.69901,274.63,0.0085213,0,0,1,0.00105,0.00105,0.005,0
0.70107,274.63,0.0084726,0,0,1,0.00106,0.00106,0.005,0
0.70314,274.63,0.0084239,0,0,1,0.00107,0.00107,0.005,0
0.70351,274.63,0.0083747,0,0,1,0.00108,0.00108,0.005,0
0.7022,274.63,0.0083252,0,0,1,0.00109,0.00109,0.005,0
0.70089,274.63,0.0082757,0,0,1,0.0011,0.0011,0.005,0
0.70276,274.62,0.0082283,0,0,1,0.00111,0.00111,0.005,0
0.70462,274.62,0.0081809,0,0,1,0.00112,0.00112,0.005,0
0.70497,274.62,0.0081333,0,0,1,0.00113,0.00113,0.005,0
0.7038,274.62,0.0080853,0,0,1,0.00114,0.00114,0.005,0
0.70263,274.62,0.0080373,0,0,1,0.00115,0.00115,0.005,0
0.70432,274.62,0.0079914,0,0,1,0.00116,0.00116,0.005,0
