"Press","T","Vel:0","Vel:1","Vel:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,275.15,0,0,0,1,0,0,0.005,0
2.4099e-05,275.15,3.1524e-07,0,0,1,1e-05,1e-05,0.005,0
4.6972e-05,275.14,1.0768e-06,0,0,1,2e-05,2e-05,0.005,0
6.8332e-05,275.14,2.2629e-06,0,0,1,3e-05,3e-05,0.005,0
8.8284e-05,275.14,3.8536e-06,0,0,1,4e-05,4e-05,0.005,0
0.00010732,275.13,5.8299e-06,0,0,1,5e-05,5e-05,0.005,0
0.00012456,275.13,8.2879e-06,0,0,1,6e-05,6e-05,0.005,0
0.00014103,275.13,1.1084e-05,0,0,1,7e-05,7e-05,0.005,0
0.00015647,275.12,1.4204e-05,0,0,1,8e-05,8e-05,0.005,0
0.00017089,275.12,1.7635e-05,0,0,1,9e-05,9e-05,0.005,0
0.00018463,275.12,2.1363e-05,0,0,1,0.0001,0.0001,0.005,0
0.00019696,275.11,2.5463e-05,0,0,1,0.00011,0.00011,0.005,0
0.00020868,275.11,2.9824e-05,0,0,1,0.00012,0.00012,0.005,0
0.00021955,275.11,3.4435e-05,0,0,1,0.00013,0.00013,0.005,0
0.00022959,275.1,3.9284e-05,0,0,1,0.00014,0.00014,0.005,0
0.00023906,275.1,4.4362e-05,0,0,1,0.00015,0.00015,0.005,0
0.00024735,275.1,4.9724e-05,0,0,1,0.00016,0.00016,0.005,0
0.00025511,275.1,5.5284e-05,0,0,1,0.00017,0.00017,0.005,0
0.00026216,275.09,6.1032e-05,0,0,1,0.00018,0.00018,0.005,0
0.00026849,275.09,6.6961e-05,0,0,1,0.00019,0.00019,0.005,0
0.00027432,275.09,7.306e-05,0,0,1,0.0002,0.0002,0.005,0
0.00027915,275.08,7.937e-05,0,0,1,0.00021,0.00021,0.005,0
0.00028351,275.08,8.5825e-05,0,0,1,0.00022,0.00022,0.005,0
0.00028724,275.08,9.2418e-05,0,0,1,0.00023,0.00023,0.005,0
0.00029035,275.07,9.9141e-05,0,0,1,0.00024,0.00024,0.005,0
0.00029304,275.07,0.00010599,0,0,1,0.00025,0.00025,0.005,0
0.00029483,275.07,0.00011298,0,0,1,0.00026,0.00026,0.005,0
0.00029623,275.07,0.00012007,0,0,1,0.00027,0.00027,0.005,0
0.00029706,275.06,0.00012726,0,0,1,0.00028,0.00028,0.005,0
0.00029737,275.06,0.00013454,0,0,1,0.00029,0.00029,0.005,0
0.0002974,275.06,0.00014189,0,0,1,0.0003,0.0003,0.005,0
0.00029626,275.06,0.00014938,0,0,1,0.00031,0.00031,0.005,0
0.00029512,275.05,0.00015688,0,0,1,0.00032,0.00032,0.005,0
0.00029345,275.05,0.00016444,0,0,1,0.00033,0.00033,0.005,0
0.00029122,275.05,0.00017208,0,0,1,0.00034,0.00034,0.005,0
0.000289,275.04,0.00017971,0,0,1,0.00035,0.00035,0.005,0
0.00028553,275.04,0.00018745,0,0,1,0.00036,0.00036,0.005,0
0.00028205,275.04,0.00019519,0,0,1,0.00037,0.00037,0.005,0
0.00027817,275.04,0.00020295,0,0,1,0.00038,0.00038,0.005,0
0.00027389,275.03,0.00021075,0,0,1,0.00039,0.00039,0.005,0
0.00026961,275.03,0.00021855,0,0,1,0.0004,0.0004,0.005,0
0.00026419,275.03,0.00022637,0,0,1,0.00041,0.00041,0.005,0
0.00025876,275.03,0.00023419,0,0,1,0.00042,0.00042,0.005,0
0.00025299,275.02,0.00024201,0,0,1,0.00043,0.00043,0.005,0
0.00024687,275.02,0.00024982,0,0,1,0.00044,0.00044,0.005,0
0.00024075,275.02,0.00025763,0,0,1,0.00045,0.00045,0.005,0
0.00023367,275.02,0.00026541,0,0,1,0.00046,0.00046,0.005,0
0.00022659,275.01,0.00027318,0,0,1,0.00047,0.00047,0.005,0
0.00021921,275.01,0.00028092,0,0,1,0.00048,0.00048,0.005,0
0.00021154,275.01,0.00028863,0,0,1,0.00049,0.00049,0.005,0
0.00020387,275.01,0.00029634,0,0,1,0.0005,0.0005,0.005,0
0.0001954,275,0.00030395,0,0,1,0.00051,0.00051,0.005,0
0.00018693,275,0.00031157,0,0,1,0.00052,0.00052,0.005,0
0.00017822,275,0.00031913,0,0,1,0.00053,0.00053,0.005,0
0.00016926,275,0.00032663,0,0,1,0.00054,0.00054,0.005,0
0.00016031,274.99,0.00033413,0,0,1,0.00055,0.00055,0.005,0
0.00015071,274.99,0.0003415,0,0,1,0.00056,0.00056,0.005,0
0.00014111,274.99,0.00034887,0,0,1,0.00057,0.00057,0.005,0
0.00013131,274.99,0.00035617,0,0,1,0.00058,0.00058,0.005,0
0.00012131,274.98,0.00036339,0,0,1,0.00059,0.00059,0.005,0
0.00011131,274.98,0.00037061,0,0,1,0.0006,0.0006,0.005,0
0.00010081,274.98,0.00037766,0,0,1,0.00061,0.00061,0.005,0
9.0317e-05,274.98,0.00038471,0,0,1,0.00062,0.00062,0.005,0
7.9662e-05,274.98,0.00039168,0,0,1,0.00063,0.00063,0.005,0
6.885e-05,274.97,0.00039855,0,0,1,0.00064,0.00064,0.005,0
5.8037e-05,274.97,0.00040543,0,0,1,0.00065,0.00065,0.005,0
4.6857e-05,274.97,0.00041211,0,0,1,0.00066,0.00066,0.005,0
3.5677e-05,274.97,0.00041879,0,0,1,0.00067,0.00067,0.005,0
2.4377e-05,274.97,0.00042538,0,0,1,0.00068,0.00068,0.005,0
1.2957e-05,274.96,0.00043186,0,0,1,0.00069,0.00069,0.005,0
1.5368e-06,274.96,0.00043834,0,0,1,0.0007,0.0007,0.005,0
-1.0133e-05,274.96,0.00044462,0,0,1,0.00071,0.00071,0.005,0
-2.1803e-05,274.96,0.00045089,0,0,1,0.00072,0.00072,0.005,0
-3.3559e-05,274.95,0.00045706,0,0,1,0.00073,0.00073,0.005,0
-4.5401e-05,274.95,0.00046312,0,0,1,0.00074,0.00074,0.005,0
-5.7242e-05,274.95,0.00046917,0,0,1,0.00075,0.00075,0.005,0
-6.923e-05,274.95,0.00047501,0,0,1,0.00076,0.00076,0.005,0
-8.1217e-05,274.95,0.00048085,0,0,1,0.00077,0.00077,0.005,0
-9.326e-05,274.94,0.00048658,0,0,1,0.00078,0.00078,0.005,0
-0.00010536,274.94,0.00049219,0,0,1,0.00079,0.00079,0.005,0
-0.00011746,274.94,0.00049781,0,0,1,0.0008,0.0008,0.005,0
-0.00012961,274.94,0.0005032,0,0,1,0.00081,0.00081,0.005,0
-0.00014176,274.94,0.00050858,0,0,1,0.00082,0.00082,0.005,0
-0.00015395,274.93,0.00051386,0,0,1,0.00083,0.00083,0.005,0
-0.00016616,274.93,0.00051902,0,0,1,0.00084,0.00084,0.005,0
-0.00017837,274.93,0.00052418,0,0,1,0.00085,0.00085,0.005,0
-0.00019056,274.93,0.00052911,0,0,1,0.00086,0.00086,0.005,0
-0.00020275,274.93,0.00053404,0,0,1,0.00087,0.00087,0.005,0
-0.00021494,274.93,0.00053886,0,0,1,0.00088,0.00088,0.005,0
-0.00022714,274.92,0.00054356,0,0,1,0.00089,0.00089,0.005,0
-0.00023934,274.92,0.00054826,0,0,1,0.0009,0.0009,0.005,0
-0.00025145,274.92,0.00055274,0,0,1,0.00091,0.00091,0.005,0
-0.00026357,274.92,0.00055722,0,0,1,0.00092,0.00092,0.005,0
-0.00027567,274.92,0.00056158,0,0,1,0.00093,0.00093,0.005,0
-0.00028775,274.91,0.00056583,0,0,1,0.00094,0.00094,0.005,0
-0.00029984,274.91,0.00057009,0,0,1,0.00095,0.00095,0.005,0
